title,url,release_date,critic_score,audience_score
102 Dalmatians,https://www.rottentomatoes.com/m/102_dalmatians,"Released Nov 22, 2000",30%,32%
Quills,https://www.rottentomatoes.com/m/quills,"Released Dec 15, 2000",75%,83%
Unbreakable,https://www.rottentomatoes.com/m/unbreakable,"Released Nov 22, 2000",70%,77%
Panic,https://www.rottentomatoes.com/m/panic,1963,,
Snatch,https://www.rottentomatoes.com/m/snatch,"Released Jan 19, 2001",74%,93%
Dungeons & Dragons,https://www.rottentomatoes.com/m/dungeons_and_dragons,"Released Dec 8, 2000",9%,20%
Proof of Life,https://www.rottentomatoes.com/m/proof_of_life,"Released Dec 8, 2000",39%,43%
Vertical Limit,https://www.rottentomatoes.com/m/vertical_limit,"Released Dec 8, 2000",49%,41%
Disappearing Acts,https://www.rottentomatoes.com/m/disappearing_acts,2000,60%,85%
Holiday Heart,https://www.rottentomatoes.com/m/holiday_heart,2000,67%,92%
Chocolat,https://www.rottentomatoes.com/m/chocolat,"Released Jan 5, 2001",63%,83%
"Dude, Where's My Car?",https://www.rottentomatoes.com/m/dude_wheres_my_car,"Released Dec 15, 2000",16%,47%
The Emperor's New Groove,https://www.rottentomatoes.com/m/emperors_new_groove,"Released Dec 15, 2000",86%,84%
Pollock,https://www.rottentomatoes.com/m/pollock,"Released Sep 30, 2000",79%,74%
What Women Want,https://www.rottentomatoes.com/m/what_women_want,"Released Dec 15, 2000",54%,54%
Finding Forrester,https://www.rottentomatoes.com/m/finding_forrester,"Released Dec 19, 2000",74%,79%
Cast Away,https://www.rottentomatoes.com/m/cast_away,"Released Dec 22, 2000",89%,84%
Before Night Falls,https://www.rottentomatoes.com/m/before_night_falls,"Released Jan 26, 2001",74%,83%
Wes Craven Presents: Dracula 2000,https://www.rottentomatoes.com/m/dracula_2000,"Released Dec 22, 2000",17%,39%
The Family Man,https://www.rottentomatoes.com/m/the_family_man,1979,,
The Family Man,https://www.rottentomatoes.com/m/family_man,"Released Dec 22, 2000",53%,67%
The Gift,https://www.rottentomatoes.com/m/the_gift,2019,,
Gift,https://www.rottentomatoes.com/m/gift,"Released Oct 11, 2019",100%,89%
The House of Mirth,https://www.rottentomatoes.com/m/house_of_mirth,"Released Sep 23, 2000",82%,72%
Miss Congeniality,https://www.rottentomatoes.com/m/miss_congeniality,"Released Dec 22, 2000",41%,69%
"O Brother, Where Art Thou?",https://www.rottentomatoes.com/m/o_brother_where_art_thou,"Released Dec 22, 2000",78%,89%
State and Main,https://www.rottentomatoes.com/m/state_and_main,"Released Jan 12, 2001",85%,70%
Thirteen Days,https://www.rottentomatoes.com/m/thirteen_days,"Released Dec 16, 2000",83%,80%
All the Pretty Horses,https://www.rottentomatoes.com/m/all_the_pretty_horses,"Released Dec 11, 2000",32%,42%
Vatel,https://www.rottentomatoes.com/m/vatel,"Released Feb 9, 2001",31%,61%
The Claim,https://www.rottentomatoes.com/m/claim,"Released Dec 29, 2000",62%,48%
Shadow of the Vampire,https://www.rottentomatoes.com/m/shadow_of_the_vampire,"Released Jan 26, 2001",82%,74%
Harry Potter and the Sorcerer's Stone,https://www.rottentomatoes.com/m/harry_potter_and_the_sorcerers_stone,"Released Nov 16, 2001",81%,82%
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,"Released Dec 13, 2001",92%,95%
The Lord of the Rings: The Fellowship of the Ring,https://www.rottentomatoes.com/m/lord_of_the_rings_the_fellowship_of_the_ring,"Released Dec 13, 2001",92%,95%
Shrek,https://www.rottentomatoes.com/m/shrek,"Released May 18, 2001",88%,90%
"Monsters, Inc.",https://www.rottentomatoes.com/m/monsters_inc,"Released Nov 2, 2001",96%,90%
Rush Hour 2,https://www.rottentomatoes.com/m/rush_hour_2,"Released Aug 3, 2001",50%,74%
The Mummy Returns,https://www.rottentomatoes.com/m/mummy_returns,"Released May 4, 2001",46%,63%
Ocean's Eleven,https://www.rottentomatoes.com/m/oceans_eleven,"Released Dec 7, 2001",83%,80%
Jurassic Park III,https://www.rottentomatoes.com/m/jurassic_park_iii,"Released Jul 18, 2001",49%,37%
Antitrust,https://www.rottentomatoes.com/m/antitrust,"Released Jan 12, 2001",24%,50%
Double Take,https://www.rottentomatoes.com/m/double_take,1998,,
Save the Last Dance,https://www.rottentomatoes.com/m/save_the_last_dance,"Released Jan 12, 2001",54%,59%
The Amati Girls,https://www.rottentomatoes.com/m/amati_girls,"Released Jan 9, 2001",46%,64%
The Pledge,https://www.rottentomatoes.com/m/the_pledge,"Released Jan 19, 2001",78%,59%
Love Intelligence Enmity,https://www.rottentomatoes.com/m/lie,2017,,
Sugar & Spice,https://www.rottentomatoes.com/m/sugar_and_spice,"Released Jan 26, 2001",29%,42%
The Wedding Planner,https://www.rottentomatoes.com/m/wedding_planner,"Released Jan 26, 2001",17%,59%
Head Over Heels,https://www.rottentomatoes.com/m/head_over_heels,"Released Feb 12, 1937",,
The Invisible Circus,https://www.rottentomatoes.com/m/invisible_circus,"Released Jan 26, 2001",22%,44%
Valentine,https://www.rottentomatoes.com/m/valentine,"Released Feb 2, 2001",11%,33%
Bojangles,https://www.rottentomatoes.com/m/bojangles,2001,,62%
Hannibal,https://www.rottentomatoes.com/m/hannibal,2006,,
Saving Silverman,https://www.rottentomatoes.com/m/saving_silverman,"Released Feb 9, 2001",18%,51%
Down to Earth,https://www.rottentomatoes.com/m/down_to_earth,1917,,
Recess: School's Out,https://www.rottentomatoes.com/m/recess_schools_out,"Released Feb 16, 2001",60%,56%
Revolution OS,https://www.rottentomatoes.com/m/revolution_os,"Released Aug 23, 2002",43%,77%
Road to Redemption,https://www.rottentomatoes.com/m/road_to_redemption,"Released Feb 16, 2001",,62%
Sweet November,https://www.rottentomatoes.com/m/sweet_november,1968,,62%
3000 Miles to Graceland,https://www.rottentomatoes.com/m/3000_miles_to_graceland,"Released Feb 23, 2001",15%,46%
Monkeybone,https://www.rottentomatoes.com/m/monkeybone,"Released Feb 23, 2001",20%,27%
Boycott,https://www.rottentomatoes.com/m/boycott,1986,,75%
The Caveman's Valentine,https://www.rottentomatoes.com/m/cavemans_valentine,"Released Mar 2, 2001",45%,51%
The Mexican,https://www.rottentomatoes.com/m/mexican,"Released Mar 2, 2001",54%,44%
See Spot Run,https://www.rottentomatoes.com/m/see_spot_run,"Released Mar 2, 2001",23%,44%
The Gleaners and I,https://www.rottentomatoes.com/m/the_gleaners_and_i,"Released Jul 9, 2000",93%,86%
The Gleaners and I,https://www.rottentomatoes.com/m/gleaners_and_i,"Released Jul 9, 2000",93%,86%
15 Minutes,https://www.rottentomatoes.com/m/15_minutes,"Released Mar 9, 2001",32%,37%
Get Over It,https://www.rottentomatoes.com/m/get_over_it,"Released Mar 9, 2001",43%,51%
Things You Can Tell Just by Looking at Her,https://www.rottentomatoes.com/m/things_you_can_tell_just_by_looking_at_her,"Released Jan 22, 2000",76%,64%
Elling,https://www.rottentomatoes.com/m/elling,"Released May 29, 2002",85%,91%
Enemy at the Gates,https://www.rottentomatoes.com/m/enemy_at_the_gates,"Released Mar 16, 2001",54%,82%
Exit Wounds,https://www.rottentomatoes.com/m/exit_wounds,"Released Mar 14, 2001",33%,45%
Memento,https://www.rottentomatoes.com/m/memento,"Released Sep 5, 2000",94%,94%
The Brothers,https://www.rottentomatoes.com/m/the_brothers,1979,,
Brothers,https://www.rottentomatoes.com/m/brothers,2000,,
Heartbreakers,https://www.rottentomatoes.com/m/heartbreakers,1984,80%,53%
Say It Isn't So,https://www.rottentomatoes.com/m/say_it_isnt_so,"Released Mar 23, 2001",8%,32%
Wit,https://www.rottentomatoes.com/m/wit,2001,83%,91%
Someone Like You,https://www.rottentomatoes.com/m/someone_like_you,1992,,
Spy Kids,https://www.rottentomatoes.com/m/spy_kids,"Released Mar 30, 2001",93%,47%
The Tailor of Panama,https://www.rottentomatoes.com/m/tailor_of_panama,"Released Mar 30, 2001",75%,46%
Tomcats,https://www.rottentomatoes.com/m/tomcats,"Released Mar 30, 2001",14%,42%
Yamakasi - Les samouraïs des temps modernes,https://www.rottentomatoes.com/m/yamakasi,2001,,63%
Along Came a Spider,https://www.rottentomatoes.com/m/along_came_a_spider,"Released Apr 6, 2001",32%,53%
Blow,https://www.rottentomatoes.com/m/blow,"Released Apr 6, 2001",56%,87%
Just Visiting,https://www.rottentomatoes.com/m/just_visiting,"Released Apr 6, 2001",33%,53%
Joe Dirt,https://www.rottentomatoes.com/m/joe_dirt,"Released Apr 11, 2001",9%,63%
Josie and the Pussycats,https://www.rottentomatoes.com/m/josie_and_the_pussycats,"Released Apr 11, 2001",53%,52%
Kingdom Come,https://www.rottentomatoes.com/m/kingdom_come,"Released Apr 11, 2001",27%,72%
The Center of the World,https://www.rottentomatoes.com/m/center_of_the_world,"Released Apr 20, 2001",34%,40%
Crocodile Dundee in Los Angeles,https://www.rottentomatoes.com/m/crocodile_dundee_in_los_angeles,"Released Apr 20, 2001",11%,25%
Freddy Got Fingered,https://www.rottentomatoes.com/m/freddy_got_fingered,"Released Apr 20, 2001",10%,56%
"Harry, He's Here to Help",https://www.rottentomatoes.com/m/with_a_friend_like_harry,"Released May 11, 2000",96%,79%
Driven,https://www.rottentomatoes.com/m/driven,"Released Aug 16, 2019",64%,62%
The Forsaken,https://www.rottentomatoes.com/m/the_forsaken,2015,,
The Forsaken,https://www.rottentomatoes.com/m/forsaken,"Released Apr 27, 2001",7%,41%
One Night at McCool's,https://www.rottentomatoes.com/m/one_night_at_mccools,"Released Apr 27, 2001",33%,39%
Town & Country,https://www.rottentomatoes.com/m/town_and_country,"Released Apr 27, 2001",13%,14%
61*,https://www.rottentomatoes.com/m/61,2001,86%,90%
Mockingbird Don't Sing,https://www.rottentomatoes.com/m/mockingbird_dont_sing,"Released May 4, 2001",,72%
The Mummy Returns,https://www.rottentomatoes.com/m/mummy_returns,"Released May 4, 2001",46%,63%
The King Is Alive,https://www.rottentomatoes.com/m/the_king_is_alive,"Released May 11, 2000",60%,58%
The King Is Alive,https://www.rottentomatoes.com/m/king_is_alive,"Released May 11, 2000",60%,58%
About Adam,https://www.rottentomatoes.com/m/about_adam,"Released Jan 28, 2000",68%,47%
Angel Eyes,https://www.rottentomatoes.com/m/angel_eyes,1993,,31%
Shrek,https://www.rottentomatoes.com/m/shrek,"Released May 18, 2001",88%,90%
Conspiracy,https://www.rottentomatoes.com/m/conspiracy,"Released Feb 15, 2008",,19%
The Man Who Cried,https://www.rottentomatoes.com/m/the_man_who_cried,"Released May 25, 2001",35%,59%
The Man Who Cried,https://www.rottentomatoes.com/m/man_who_cried,"Released May 25, 2001",35%,59%
The Animal,https://www.rottentomatoes.com/m/the_animal,2018,,
Animal,https://www.rottentomatoes.com/m/animal,2018,,
Moulin Rouge,https://www.rottentomatoes.com/m/moulin_rouge,1928,,60%
What's the Worst That Could Happen?,https://www.rottentomatoes.com/m/whats_the_worst_that_could_happen,"Released Jun 1, 2001",10%,35%
The Anniversary Party,https://www.rottentomatoes.com/m/the_anniversary_party,"Released Jun 24, 2001",61%,57%
The Anniversary Party,https://www.rottentomatoes.com/m/anniversary_party,"Released Jun 24, 2001",61%,57%
Bride of the Wind,https://www.rottentomatoes.com/m/bride_of_the_wind,"Released Jun 8, 2001",11%,38%
Evolution,https://www.rottentomatoes.com/m/evolution,2018,,
Swordfish,https://www.rottentomatoes.com/m/swordfish,"Released Jun 8, 2001",26%,59%
Stanley Kubrick: A Life in Pictures,https://www.rottentomatoes.com/m/stanley_kubrick_a_life_in_pictures,2001,86%,89%
Atlantis: The Lost Empire,https://www.rottentomatoes.com/m/atlantis_the_lost_empire,"Released Jun 15, 2001",49%,55%
Lara Croft: Tomb Raider,https://www.rottentomatoes.com/m/lara_croft_tomb_raider,"Released Jun 15, 2001",20%,47%
Sexy Beast,https://www.rottentomatoes.com/m/sexy_beast,"Released Sep 13, 2000",87%,85%
Dr. Dolittle 2,https://www.rottentomatoes.com/m/dr_dolittle_2,"Released Jun 22, 2001",41%,26%
The Fast and the Furious,https://www.rottentomatoes.com/m/the_fast_and_the_furious,"Released Jun 22, 2001",54%,74%
The Princess and the Warrior,https://www.rottentomatoes.com/m/princess_and_the_warrior,"Released Jun 22, 2001",64%,88%
The Trumpet of the Swan,https://www.rottentomatoes.com/m/trumpet_of_the_swan,"Released May 11, 2001",14%,37%
Baby Boy,https://www.rottentomatoes.com/m/baby_boy,"Released Jun 29, 2001",71%,87%
A.I.: Artificial Intelligence,https://www.rottentomatoes.com/m/ai_artificial_intelligence,"Released Jun 29, 2001",76%,64%
Pootie Tang,https://www.rottentomatoes.com/m/pootie_tang,"Released Jun 29, 2001",27%,63%
Cats & Dogs,https://www.rottentomatoes.com/m/cats_and_dogs,"Released Jul 4, 2001",52%,32%
Scary Movie 2,https://www.rottentomatoes.com/m/scary_movie_2,"Released Jul 4, 2001",13%,52%
Kiss of the Dragon,https://www.rottentomatoes.com/m/kiss_of_the_dragon,"Released Jul 6, 2001",52%,68%
Lost and Delirious,https://www.rottentomatoes.com/m/lost_and_delirious,"Released Jul 6, 2001",51%,78%
Final Fantasy: The Spirits Within,https://www.rottentomatoes.com/m/final_fantasy_the_spirits_within,"Released Jul 11, 2001",44%,48%
Legally Blonde,https://www.rottentomatoes.com/m/legally_blonde,"Released Jul 13, 2001",71%,72%
Made,https://www.rottentomatoes.com/m/made,"Released Jul 13, 2001",71%,66%
The Score,https://www.rottentomatoes.com/m/the_score,"Released Jun 3, 2022",56%,45%
Score,https://www.rottentomatoes.com/m/score,2001,,
Jurassic Park III,https://www.rottentomatoes.com/m/jurassic_park_iii,"Released Jul 18, 2001",49%,37%
America's Sweethearts,https://www.rottentomatoes.com/m/americas_sweethearts,"Released Jul 20, 2001",33%,40%
Ghost World,https://www.rottentomatoes.com/m/ghost_world,"Released Jun 16, 2001",93%,84%
Hedwig and the Angry Inch,https://www.rottentomatoes.com/m/hedwig_and_the_angry_inch,"Released Jul 20, 2001",92%,93%
Wet Hot American Summer,https://www.rottentomatoes.com/m/wet_hot_american_summer,"Released Jul 27, 2001",38%,75%
Karumadikkuttan,https://www.rottentomatoes.com/m/karumadikkuttan,2001,,
Original Sin,https://www.rottentomatoes.com/m/original_sin,"Released Aug 3, 2001",12%,61%
The Princess Diaries,https://www.rottentomatoes.com/m/princess_diaries,"Released Aug 3, 2001",49%,68%
Rush Hour 2,https://www.rottentomatoes.com/m/rush_hour_2,"Released Aug 3, 2001",50%,74%
All Over the Guy,https://www.rottentomatoes.com/m/all_over_the_guy,"Released Aug 10, 2001",43%,67%
American Pie 2,https://www.rottentomatoes.com/m/american_pie_2,"Released Aug 10, 2001",51%,68%
Osmosis Jones,https://www.rottentomatoes.com/m/osmosis_jones,"Released Aug 10, 2001",55%,42%
The Others,https://www.rottentomatoes.com/m/the_others,1974,,
Others,https://www.rottentomatoes.com/m/others,2008,,
Dinner With Friends,https://www.rottentomatoes.com/m/dinner_with_friends,2001,90%,46%
American Outlaws,https://www.rottentomatoes.com/m/american_outlaws,"Released Aug 17, 2001",13%,67%
Captain Corelli's Mandolin,https://www.rottentomatoes.com/m/captain_corellis_mandolin,"Released Aug 17, 2001",28%,50%
Rat Race,https://www.rottentomatoes.com/m/rat_race,"Released Aug 17, 2001",45%,64%
Bubble Boy,https://www.rottentomatoes.com/m/bubble_boy,"Released Aug 24, 2001",31%,48%
The Curse of the Jade Scorpion,https://www.rottentomatoes.com/m/curse_of_the_jade_scorpion,"Released Aug 24, 2001",45%,53%
Happy Accidents,https://www.rottentomatoes.com/m/happy_accidents,"Released Aug 24, 2001",70%,75%
Jay and Silent Bob Strike Back,https://www.rottentomatoes.com/m/jay_and_silent_bob_strike_back,"Released Aug 24, 2001",52%,75%
Summer Catch,https://www.rottentomatoes.com/m/summer_catch,"Released Aug 24, 2001",8%,41%
Jeepers Creepers,https://www.rottentomatoes.com/m/jeepers_creepers,"Released Aug 31, 2001",45%,49%
O,https://www.rottentomatoes.com/m/o,"Released Aug 31, 2001",65%,58%
Megiddo,https://www.rottentomatoes.com/m/megiddo_the_omega_code_2,2001,10%,45%
The Musketeer,https://www.rottentomatoes.com/m/musketeer,"Released Sep 7, 2001",11%,33%
Rock Star,https://www.rottentomatoes.com/m/rock_star,"Released Sep 7, 2001",53%,59%
Soul Survivors,https://www.rottentomatoes.com/m/soul_survivors,"Released Sep 7, 2001",4%,26%
Two Can Play That Game,https://www.rottentomatoes.com/m/two_can_play_that_game,"Released Sep 7, 2001",40%,83%
The Glass House,https://www.rottentomatoes.com/m/the_glass_house,2009,,100%
The Glass House,https://www.rottentomatoes.com/m/glass_house,"Released Sep 14, 2001",22%,39%
Hardball,https://www.rottentomatoes.com/m/hardball,"Released Sep 14, 2001",41%,70%
Glitter,https://www.rottentomatoes.com/m/glitter,"Released Sep 21, 2001",6%,48%
Born Romantic,https://www.rottentomatoes.com/m/born_romantic,"Released Sep 14, 2000",58%,55%
Dinner Rush,https://www.rottentomatoes.com/m/dinner_rush,"Released Sep 28, 2000",91%,85%
Don't Say a Word,https://www.rottentomatoes.com/m/dont_say_a_word,"Released Sep 28, 2001",24%,49%
Hearts in Atlantis,https://www.rottentomatoes.com/m/hearts_in_atlantis,"Released Sep 28, 2001",49%,64%
Zoolander,https://www.rottentomatoes.com/m/zoolander,"Released Sep 28, 2001",65%,80%
Joy Ride,https://www.rottentomatoes.com/m/joy_ride,"Released Oct 5, 2001",74%,66%
Max Keeble's Big Move,https://www.rottentomatoes.com/m/max_keebles_big_move,"Released Oct 5, 2001",29%,38%
Serendipity,https://www.rottentomatoes.com/m/serendipity,"Released Oct 5, 2001",59%,79%
Training Day,https://www.rottentomatoes.com/m/training_day,"Released Oct 5, 2001",74%,89%
Scooby-Doo and the Cyber Chase,https://www.rottentomatoes.com/m/scoobydoo_and_the_cyber_chase,2001,60%,66%
Bandits,https://www.rottentomatoes.com/m/bandits,"Released Oct 12, 2001",64%,58%
Corky Romano,https://www.rottentomatoes.com/m/corky_romano,"Released Oct 12, 2001",7%,39%
Iron Monkey,https://www.rottentomatoes.com/m/iron_monkey,1977,,33%
My First Mister,https://www.rottentomatoes.com/m/my_first_mister,"Released Oct 19, 2001",53%,75%
From Hell,https://www.rottentomatoes.com/m/from_hell,"Released Oct 19, 2001",57%,66%
The Last Castle,https://www.rottentomatoes.com/m/last_castle,"Released Oct 19, 2001",52%,74%
Riding in Cars With Boys,https://www.rottentomatoes.com/m/riding_in_cars_with_boys,"Released Oct 19, 2001",49%,66%
Waking Life,https://www.rottentomatoes.com/m/waking_life,"Released Oct 19, 2001",81%,87%
Donnie Darko,https://www.rottentomatoes.com/m/donnie_darko,"Released Oct 26, 2001",87%,80%
K-PAX,https://www.rottentomatoes.com/m/kpax,"Released Oct 26, 2001",42%,74%
On the Line,https://www.rottentomatoes.com/m/on_the_line,2021,,
Thirteen Ghosts,https://www.rottentomatoes.com/m/thirteen_ghosts,"Released Oct 26, 2001",19%,49%
